id,date,store,item,sales
27562,1/14/2024,1,26,44
39184,11/16/2025,1,36,63
803,9/21/2025,1,1,20
12669,3/26/2025,1,12,24
8870,10/29/2023,1,9,24
785,9/3/2025,1,1,13
20219,12/1/2024,1,19,68
12396,6/26/2024,1,12,12
43772,6/12/2026,1,40,51
43684,3/16/2026,1,40,27
49082,12/29/2025,1,45,27
47678,2/23/2025,1,44,20
35756,6/26/2025,1,33,59
48125,5/16/2026,1,44,22
10417,1/23/2025,1,10,20
1195,10/19/2023,1,2,36
9910,9/4/2023,1,10,18
52940,7/25/2024,1,49,22
52163,6/8/2025,1,48,45
40291,11/28/2025,1,37,47
22521,3/23/2025,1,21,62
28373,4/4/2026,1,26,49
43346,4/12/2025,1,40,40
32261,11/28/2024,1,30,94
21251,9/29/2024,1,20,75
43711,4/12/2026,1,40,71
48837,4/28/2025,1,45,29
1464,7/14/2024,1,2,16
9596,10/24/2025,1,9,14
48618,9/21/2024,1,45,18
45288,8/7/2024,1,42,23
1299,1/31/2024,1,2,34
20773,6/8/2026,1,19,72
27958,2/13/2025,1,26,52
54511,11/13/2025,1,50,53
35531,11/13/2024,1,33,75
45195,5/6/2024,1,42,24
27191,1/7/2026,1,25,68
46072,10/1/2023,1,43,22
12638,2/23/2025,1,12,16
17695,1/2/2024,1,17,35
40333,1/9/2026,1,37,39
14629,8/8/2024,1,14,15
46844,11/11/2025,1,43,31
22397,11/19/2024,1,21,79
41571,6/1/2026,1,38,33
23840,11/2/2025,1,22,66
8863,10/22/2023,1,9,27
7711,8/26/2023,1,8,5
50585,2/11/2024,1,47,62
35150,10/29/2023,1,33,64
7461,12/18/2025,1,7,16
54386,7/11/2025,1,50,36
53684,8/9/2023,1,50,27
54177,12/14/2024,1,50,59
22330,9/13/2024,1,21,49
13803,5/4/2025,1,13,15
36213,9/27/2023,1,34,62
43571,11/23/2025,1,40,61
32726,3/8/2026,1,30,89
38894,1/30/2025,1,36,52
3701,8/30/2024,1,4,4
28605,11/23/2023,1,27,54
8564,12/26/2025,1,8,27
1601,11/28/2024,1,2,25
27243,2/28/2026,1,25,47
45089,1/21/2024,1,42,35
19167,1/13/2025,1,18,55
26321,8/21/2023,1,25,30
45128,2/29/2024,1,42,26
24074,6/24/2026,1,22,44
52945,7/30/2024,1,49,29
38887,1/23/2025,1,36,53
1397,5/8/2024,1,2,23
1116,8/1/2023,1,2,15
7586,4/22/2026,1,7,18
32695,2/5/2026,1,30,103
24288,1/25/2024,1,23,82
9544,9/2/2025,1,9,11
19972,3/29/2024,1,19,71
2208,7/29/2023,1,3,15
43918,11/6/2023,1,41,24
1101,7/17/2023,1,2,12
44657,11/14/2025,1,41,28
50939,1/30/2025,1,47,43
37507,4/13/2024,1,35,25
22500,3/2/2025,1,21,65
45245,6/25/2024,1,42,27
14951,6/26/2025,1,14,13
103,10/22/2023,1,1,26
39241,1/12/2026,1,36,36
13918,8/27/2025,1,13,27
48030,2/10/2026,1,44,32
16635,2/6/2024,1,16,30
6401,1/22/2026,1,6,17
32459,6/14/2025,1,30,102
51936,10/24/2024,1,48,34
17670,12/8/2023,1,17,28
37140,4/11/2026,1,34,39
1309,2/10/2024,1,2,22
41746,11/24/2023,1,39,41
29905,6/15/2024,1,28,54
51781,5/22/2024,1,48,36
42034,9/7/2024,1,39,30
39059,7/14/2025,1,36,27
34748,9/21/2025,1,32,36
29570,7/16/2023,1,28,33
50349,6/19/2026,1,46,49
47657,2/2/2025,1,44,19
53261,6/11/2025,1,49,26
50270,4/1/2026,1,46,66
5798,5/29/2024,1,6,26
32926,9/25/2023,1,31,51
12556,12/3/2024,1,12,21
20159,10/2/2024,1,19,67
27339,6/4/2026,1,25,50
50001,7/6/2025,1,46,28
53253,6/3/2025,1,49,48
24456,7/11/2024,1,23,41
24981,12/18/2025,1,23,84
33508,4/29/2025,1,31,52
37776,1/7/2025,1,35,50
5946,10/24/2024,1,6,17
2109,4/20/2026,1,2,27
10186,6/6/2024,1,10,22
19373,8/7/2025,1,18,23
14933,6/8/2025,1,14,17
44765,3/2/2026,1,41,46
23375,7/25/2024,1,22,46
28885,8/29/2024,1,27,49
4929,1/10/2025,1,5,27
49393,11/6/2023,1,46,33
39949,12/21/2024,1,37,58
13484,6/19/2024,1,13,13
29579,7/25/2023,1,28,13
40683,12/26/2023,1,38,38
16853,9/11/2024,1,16,18
13664,12/16/2024,1,13,30
8385,6/30/2025,1,8,18
26430,12/8/2023,1,25,70
20055,6/20/2024,1,19,56
3211,4/27/2026,1,3,30
4666,4/22/2024,1,5,12
19333,6/28/2025,1,18,43
31135,10/28/2024,1,29,61
6498,4/29/2026,1,6,23
7883,2/14/2024,1,8,25
43674,3/6/2026,1,40,41
51475,7/21/2023,1,48,38
26558,4/14/2024,1,25,32
16721,5/2/2024,1,16,27
13414,4/10/2024,1,13,25
29654,10/8/2023,1,28,44
13674,12/26/2024,1,13,42
17131,6/16/2025,1,16,22
50558,1/15/2024,1,47,64
21778,3/10/2026,1,20,104
51421,5/27/2026,1,47,24
35732,6/2/2025,1,33,67
201,1/28/2024,1,1,26
31075,8/29/2024,1,29,45
6300,10/13/2025,1,6,28
8420,8/4/2025,1,8,16
19552,2/2/2026,1,18,84
54433,8/27/2025,1,50,28
33335,11/7/2024,1,31,65
33295,9/28/2024,1,31,47
14369,11/22/2023,1,14,38
22167,4/3/2024,1,21,60
23318,5/29/2024,1,22,53
46376,7/31/2024,1,43,21
37721,11/13/2024,1,35,48
34801,11/13/2025,1,32,56
43790,6/30/2026,1,40,35
36212,9/26/2023,1,34,47
40517,7/13/2023,1,38,36
33993,8/28/2023,1,32,47
15656,6/1/2024,1,15,32
43092,8/1/2024,1,40,35
33115,4/1/2024,1,31,50
18396,12/3/2025,1,17,45
52202,7/17/2025,1,48,32
38900,2/5/2025,1,36,56
54566,1/7/2026,1,50,58
34713,8/17/2025,1,32,60
6478,4/9/2026,1,6,21
10933,6/23/2026,1,10,14
53296,7/16/2025,1,49,21
25299,11/2/2023,1,24,80
39970,1/11/2025,1,37,47
11603,4/24/2025,1,11,12
16487,9/11/2023,1,16,21
31817,9/11/2023,1,30,66
32689,1/30/2026,1,30,106
10837,3/19/2026,1,10,14
31013,6/28/2024,1,29,29
14772,12/29/2024,1,14,22
724,7/4/2025,1,1,12
16884,10/12/2024,1,16,13
4379,7/9/2026,1,4,12
13057,4/18/2026,1,12,21
32333,2/8/2025,1,30,101
47743,4/29/2025,1,44,26
31360,6/10/2025,1,29,60
47394,5/15/2024,1,44,20
24619,12/21/2024,1,23,55
9898,8/23/2023,1,10,20
30013,10/1/2024,1,28,28
35016,6/16/2026,1,32,53
26621,6/16/2024,1,25,41
28106,7/11/2025,1,26,35
7696,8/11/2023,1,8,13
11036,10/5/2023,1,11,10
13085,5/16/2026,1,12,26
54109,10/7/2024,1,50,36
4566,1/13/2024,1,5,26
35470,9/13/2024,1,33,35
22909,4/15/2026,1,21,71
16625,1/27/2024,1,16,25
41499,3/21/2026,1,38,63
19924,2/10/2024,1,19,89
30503,2/3/2026,1,28,52
44796,4/2/2026,1,41,22
31564,12/31/2025,1,29,93
54117,10/15/2024,1,50,39
52983,9/6/2024,1,49,13
20603,12/20/2025,1,19,62
41471,2/21/2026,1,38,64
42394,9/2/2025,1,39,33
42367,8/6/2025,1,39,26
24923,10/21/2025,1,23,59
38350,8/5/2023,1,36,25
47088,7/14/2023,1,44,24
11543,2/23/2025,1,11,7
38031,9/19/2025,1,35,24
30884,2/20/2024,1,29,55
45883,3/25/2026,1,42,20
17286,11/18/2025,1,16,37
37984,8/3/2025,1,35,23
18722,10/26/2023,1,18,61
19623,4/14/2026,1,18,91
53615,5/31/2026,1,49,35
54071,8/30/2024,1,50,34
20834,8/9/2023,1,20,40
9457,6/7/2025,1,9,14
18287,8/16/2025,1,17,16
18018,11/20/2024,1,17,34
25931,7/26/2025,1,24,28
50501,11/19/2023,1,47,53
45335,9/23/2024,1,42,19
44658,11/15/2025,1,41,24
12626,2/11/2025,1,12,19
17553,8/13/2023,1,17,13
15526,1/23/2024,1,15,32
45766,11/28/2025,1,42,24
52236,8/20/2025,1,48,27
35166,11/14/2023,1,33,66
22320,9/3/2024,1,21,56
207,2/3/2024,1,1,19
17460,5/11/2026,1,16,29
8857,10/16/2023,1,9,14
52996,9/19/2024,1,49,19
34858,1/9/2026,1,32,68
22701,9/19/2025,1,21,86
10742,12/14/2025,1,10,27
49795,12/12/2024,1,46,64
34959,4/20/2026,1,32,48
54081,9/9/2024,1,50,32
41303,9/6/2025,1,38,35
51390,4/26/2026,1,47,38
31897,11/30/2023,1,30,69
23132,11/25/2023,1,22,88
36835,6/10/2025,1,34,26
13100,5/31/2026,1,12,25
8362,6/7/2025,1,8,19
4449,9/18/2023,1,5,10
36724,2/19/2025,1,34,43
49792,12/9/2024,1,46,48
34961,4/22/2026,1,32,50
19902,1/19/2024,1,19,83
22150,3/17/2024,1,21,45
45982,7/2/2026,1,42,18
29605,8/20/2023,1,28,30
50741,7/16/2024,1,47,49
349,6/24/2024,1,1,15
37358,11/16/2023,1,35,54
4410,8/10/2023,1,5,11
31216,1/17/2025,1,29,61
37109,3/11/2026,1,34,34
48048,2/28/2026,1,44,34
26956,5/17/2025,1,25,29
10719,11/21/2025,1,10,15
52076,3/13/2025,1,48,45
5243,11/20/2025,1,5,32
30400,10/23/2025,1,28,44
1137,8/22/2023,1,2,15
34179,3/1/2024,1,32,58
54212,1/18/2025,1,50,70
40577,9/11/2023,1,38,27
31890,11/23/2023,1,30,61
41784,1/1/2024,1,39,51
29193,7/3/2025,1,27,31
26059,12/1/2025,1,24,62
3176,3/23/2026,1,3,29
3478,1/20/2024,1,4,49
37457,2/23/2024,1,35,23
29123,4/24/2025,1,27,64
1231,11/24/2023,1,2,13
8126,10/14/2024,1,8,17
33041,1/18/2024,1,31,71
52356,12/18/2025,1,48,46
51454,6/29/2026,1,47,49
6527,5/28/2026,1,6,27
6272,9/15/2025,1,6,28
26684,8/18/2024,1,25,27
18842,2/23/2024,1,18,48
46895,1/1/2026,1,43,29
52467,4/8/2026,1,48,56
12892,11/4/2025,1,12,34
46494,11/26/2024,1,43,37
39501,9/30/2023,1,37,40
17753,2/29/2024,1,17,32
43984,1/11/2024,1,41,20
17746,2/22/2024,1,17,34
40420,4/6/2026,1,37,37
16343,4/19/2026,1,15,26
41848,3/5/2024,1,39,61
26317,8/17/2023,1,25,26
40112,6/2/2025,1,37,63
38882,1/18/2025,1,36,57
46099,10/28/2023,1,43,24
35464,9/7/2024,1,33,57
2793,3/5/2025,1,3,23
20779,6/14/2026,1,19,68
4346,6/6/2026,1,4,27
1360,4/1/2024,1,2,25
42690,6/25/2026,1,39,25
12095,8/30/2023,1,12,10
49714,9/22/2024,1,46,31
35373,6/8/2024,1,33,54
9833,6/18/2026,1,9,13
36784,4/20/2025,1,34,37
512,12/4/2024,1,1,13
53437,12/4/2025,1,49,43
27880,11/27/2024,1,26,43
3957,5/13/2025,1,4,20
11805,11/12/2025,1,11,17
48091,4/12/2026,1,44,20
49234,5/30/2026,1,45,26
53983,6/3/2024,1,50,47
10667,9/30/2025,1,10,19
46250,3/27/2024,1,43,34
17336,1/7/2026,1,16,10
36824,5/30/2025,1,34,38
14033,12/20/2025,1,13,47
38052,10/10/2025,1,35,28
40326,1/2/2026,1,37,33
2021,1/22/2026,1,2,17
17770,3/17/2024,1,17,29
36297,12/20/2023,1,34,67
50158,12/10/2025,1,46,55
7394,10/12/2025,1,7,9
49900,3/27/2025,1,46,56
47773,5/29/2025,1,44,20
10298,9/26/2024,1,10,12
36197,9/11/2023,1,34,53
4393,7/24/2023,1,5,13
17527,7/18/2023,1,17,26
27505,11/18/2023,1,26,42
32184,9/12/2024,1,30,62
2856,5/7/2025,1,3,41
36683,1/9/2025,1,34,26
20845,8/20/2023,1,20,52
41656,8/26/2023,1,39,30
19806,10/15/2023,1,19,40
32217,10/15/2024,1,30,51
12891,11/3/2025,1,12,28
30910,3/17/2024,1,29,51
41663,9/2/2023,1,39,32
26313,8/13/2023,1,25,26
42808,10/22/2023,1,40,37
1785,5/31/2025,1,2,29
44227,9/10/2024,1,41,27
53353,9/11/2025,1,49,28
4672,4/28/2024,1,5,42
50073,9/16/2025,1,46,43
44588,9/6/2025,1,41,21
13660,12/12/2024,1,13,32
35449,8/23/2024,1,33,48
51712,3/14/2024,1,48,41
41158,4/14/2025,1,38,49
3773,11/10/2024,1,4,21
37656,9/9/2024,1,35,27
20467,8/6/2025,1,19,40
29050,2/10/2025,1,27,66
44015,2/11/2024,1,41,30
15796,10/19/2024,1,15,29
3243,5/29/2026,1,3,42
16100,8/19/2025,1,15,21
6516,5/17/2026,1,6,20
34885,2/5/2026,1,32,63
7646,6/21/2026,1,7,7
35920,12/7/2025,1,33,69
51327,2/22/2026,1,47,59
23702,6/17/2025,1,22,97
9419,4/30/2025,1,9,13
15495,12/23/2023,1,15,32
49319,8/24/2023,1,46,32
40669,12/12/2023,1,38,49
9660,12/27/2025,1,9,17
1704,3/11/2025,1,2,38
52007,1/3/2025,1,48,54
46091,10/20/2023,1,43,27
21279,10/27/2024,1,20,85
11860,1/6/2026,1,11,13
8893,11/21/2023,1,9,11
23796,9/19/2025,1,22,44
50082,9/25/2025,1,46,50
47203,11/6/2023,1,44,31
165,12/23/2023,1,1,26
19755,8/25/2023,1,19,42
33444,2/24/2025,1,31,69
35199,12/17/2023,1,33,67
27698,5/29/2024,1,26,40
26871,2/21/2025,1,25,73
26274,7/4/2026,1,24,36
14292,9/6/2023,1,14,29
41770,12/18/2023,1,39,49
25995,9/28/2025,1,24,52
10233,7/23/2024,1,10,14
18712,10/16/2023,1,18,49
21105,5/6/2024,1,20,77
25439,3/21/2024,1,24,76
44054,3/21/2024,1,41,20
9765,4/11/2026,1,9,14
48401,2/17/2024,1,45,34
53988,6/8/2024,1,50,53
50560,1/17/2024,1,47,77
31179,12/11/2024,1,29,87
51523,9/7/2023,1,48,25
30374,9/27/2025,1,28,37
40700,1/12/2024,1,38,63
173,12/31/2023,1,1,24
1667,2/2/2025,1,2,28
13583,9/26/2024,1,13,23
42360,7/30/2025,1,39,36
7341,8/20/2025,1,7,13
23155,12/18/2023,1,22,92
30583,4/24/2026,1,28,48
50150,12/2/2025,1,46,46
54242,2/17/2025,1,50,58
8187,12/14/2024,1,8,30
39061,7/16/2025,1,36,30
1633,12/30/2024,1,2,24
34617,5/13/2025,1,32,60
30002,9/20/2024,1,28,38
33302,10/5/2024,1,31,55
6431,2/21/2026,1,6,19
46983,3/30/2026,1,43,38
36766,4/2/2025,1,34,21
17254,10/17/2025,1,16,21
19680,6/10/2026,1,18,47
5738,3/30/2024,1,6,17
48922,7/22/2025,1,45,22
43429,7/4/2025,1,40,31
18951,6/11/2024,1,18,57
38366,8/21/2023,1,36,28
42413,9/21/2025,1,39,25
4416,8/16/2023,1,5,19
9934,9/28/2023,1,10,10
10027,12/30/2023,1,10,30
23273,4/14/2024,1,22,82
42141,12/23/2024,1,39,25
47243,12/16/2023,1,44,37
48763,2/13/2025,1,45,30
54301,4/17/2025,1,50,57
19768,9/7/2023,1,19,59
42006,8/10/2024,1,39,18
18694,9/28/2023,1,18,36
22173,4/9/2024,1,21,52
52955,8/9/2024,1,49,28
50905,12/27/2024,1,47,51
12204,12/17/2023,1,12,20
17999,11/1/2024,1,17,30
51585,11/8/2023,1,48,38
25032,2/7/2026,1,23,60
28352,3/14/2026,1,26,66
46360,7/15/2024,1,43,27
23265,4/6/2024,1,22,85
35759,6/29/2025,1,33,50
43327,3/24/2025,1,40,28
38195,3/2/2026,1,35,37
33472,3/24/2025,1,31,61
6151,5/17/2025,1,6,16
35073,8/13/2023,1,33,36
44124,5/30/2024,1,41,21
52376,1/7/2026,1,48,43
5148,8/17/2025,1,5,20
30060,11/17/2024,1,28,55
23877,12/9/2025,1,22,55
27913,12/30/2024,1,26,68
26534,3/21/2024,1,25,54
47562,10/30/2024,1,44,14
3265,6/20/2026,1,3,27
39326,4/7/2026,1,36,53
28717,3/14/2024,1,27,63
53896,3/8/2024,1,50,43
9915,9/9/2023,1,10,15
11646,6/6/2025,1,11,11
27994,3/21/2025,1,26,37
10594,7/19/2025,1,10,11
30128,1/24/2025,1,28,49
42405,9/13/2025,1,39,18
49546,4/7/2024,1,46,32
52519,5/30/2026,1,48,42
35351,5/17/2024,1,33,58
22428,12/20/2024,1,21,88
38662,6/12/2024,1,36,29
6270,9/13/2025,1,6,20
6214,7/19/2025,1,6,18
19460,11/2/2025,1,18,60
53172,3/14/2025,1,49,37
52359,12/21/2025,1,48,30
33521,5/12/2025,1,31,59
2432,3/9/2024,1,3,35
3167,3/14/2026,1,3,40
14473,3/5/2024,1,14,33
53013,10/6/2024,1,49,28
11466,12/8/2024,1,11,13
12190,12/3/2023,1,12,19
16580,12/13/2023,1,16,12
18479,2/24/2026,1,17,54
43710,4/11/2026,1,40,45
39522,10/21/2023,1,37,41
33040,1/17/2024,1,31,66
27031,7/31/2025,1,25,44
11010,9/9/2023,1,11,21
9950,10/14/2023,1,10,21
37644,8/28/2024,1,35,27
36680,1/6/2025,1,34,27
50981,3/13/2025,1,47,48
53849,1/21/2024,1,50,33
33217,7/12/2024,1,31,33
11986,5/12/2026,1,11,14
50149,12/1/2025,1,46,33
14983,7/28/2025,1,14,22
50775,8/19/2024,1,47,34
13211,9/20/2023,1,13,29
45306,8/25/2024,1,42,23
25872,5/28/2025,1,24,52
9015,3/22/2024,1,9,32
5799,5/30/2024,1,6,24
30870,2/6/2024,1,29,64
29928,7/8/2024,1,28,24
28813,6/18/2024,1,27,53
29565,7/11/2023,1,28,28
47357,4/8/2024,1,44,29
9266,11/28/2024,1,9,14
13712,2/2/2025,1,13,30
6739,12/27/2023,1,7,32
10790,1/31/2026,1,10,22
34633,5/29/2025,1,32,54
7243,5/14/2025,1,7,27
51119,7/29/2025,1,47,37
16029,6/9/2025,1,15,21
25190,7/16/2023,1,24,53
5336,2/21/2026,1,5,41
44400,3/2/2025,1,41,32
48535,6/30/2024,1,45,27
3985,6/10/2025,1,4,22
14546,5/17/2024,1,14,39
22869,3/6/2026,1,21,84
1310,2/11/2024,1,2,28
3584,5/5/2024,1,4,29
42425,10/3/2025,1,39,32
2062,3/4/2026,1,2,28
26898,3/20/2025,1,25,49
32365,3/12/2025,1,30,73
10977,8/7/2023,1,11,4
49198,4/24/2026,1,45,22
9957,10/21/2023,1,10,21
25121,5/7/2026,1,23,75
20054,6/19/2024,1,19,80
18435,1/11/2026,1,17,50
41460,2/10/2026,1,38,69
21872,6/12/2026,1,20,86
41071,1/17/2025,1,38,51
15063,10/16/2025,1,14,20
40167,7/27/2025,1,37,36
23021,8/6/2023,1,22,55
35186,12/4/2023,1,33,78
7374,9/22/2025,1,7,18
53464,12/31/2025,1,49,40
26547,4/3/2024,1,25,50
5804,6/4/2024,1,6,25
4446,9/15/2023,1,5,25
31149,11/11/2024,1,29,57
40438,4/24/2026,1,37,37
8791,8/11/2023,1,9,12
1770,5/16/2025,1,2,17
10700,11/2/2025,1,10,18
8508,10/31/2025,1,8,14
23790,9/13/2025,1,22,36
28707,3/4/2024,1,27,52
6118,4/14/2025,1,6,22
43787,6/27/2026,1,40,43
1018,4/24/2026,1,1,23
24883,9/11/2025,1,23,57
32140,7/30/2024,1,30,36
16656,2/27/2024,1,16,19
4305,4/26/2026,1,4,29
42271,5/2/2025,1,39,24
26431,12/9/2023,1,25,50
12057,7/23/2023,1,12,6
49000,10/8/2025,1,45,33
1692,2/27/2025,1,2,27
36936,9/19/2025,1,34,21
8676,4/17/2026,1,8,17
18372,11/9/2025,1,17,38
50323,5/24/2026,1,46,35
5175,9/13/2025,1,5,27
18984,7/14/2024,1,18,41
35744,6/14/2025,1,33,71
43609,12/31/2025,1,40,46
53031,10/24/2024,1,49,24
28035,5/1/2025,1,26,45
53359,9/17/2025,1,49,28
41918,5/14/2024,1,39,57
40693,1/5/2024,1,38,66
2831,4/12/2025,1,3,25
453,10/6/2024,1,1,15
24279,1/16/2024,1,23,78
36862,7/7/2025,1,34,19
6031,1/17/2025,1,6,17
8179,12/6/2024,1,8,17
52475,4/16/2026,1,48,55
53481,1/17/2026,1,49,39
5789,5/20/2024,1,6,28
4268,3/20/2026,1,4,26
1003,4/9/2026,1,1,25
32276,12/13/2024,1,30,89
44232,9/15/2024,1,41,20
15003,8/17/2025,1,14,20
36594,10/12/2024,1,34,30
33073,2/19/2024,1,31,62
2158,6/8/2026,1,2,29
59,9/8/2023,1,1,15
32279,12/16/2024,1,30,117
26880,3/2/2025,1,25,55
14127,3/24/2026,1,13,23
51377,4/13/2026,1,47,34
7045,10/28/2024,1,7,22
4347,6/7/2026,1,4,31
53591,5/7/2026,1,49,41
30108,1/4/2025,1,28,57
2273,10/2/2023,1,3,21
4260,3/12/2026,1,4,23
28936,10/19/2024,1,27,38
9533,8/22/2025,1,9,11
42214,3/6/2025,1,39,36
4990,3/12/2025,1,5,31
54473,10/6/2025,1,50,38
32652,12/24/2025,1,30,85
44050,3/17/2024,1,41,21
52049,2/14/2025,1,48,67
23133,11/26/2023,1,22,96
11670,6/30/2025,1,11,11
50365,7/5/2026,1,46,36
28881,8/25/2024,1,27,24
46381,8/5/2024,1,43,18
41219,6/14/2025,1,38,48
9092,6/7/2024,1,9,24
38491,12/24/2023,1,36,65
36223,10/7/2023,1,34,66
35374,6/9/2024,1,33,66
16505,9/29/2023,1,16,15
48554,7/19/2024,1,45,12
23320,5/31/2024,1,22,76
16241,1/7/2026,1,15,28
6900,6/5/2024,1,7,18
18291,8/20/2025,1,17,30
28264,12/16/2025,1,26,36
16670,3/12/2024,1,16,33
50333,6/3/2026,1,46,54
49744,10/22/2024,1,46,34
14021,12/8/2025,1,13,31
24142,9/1/2023,1,23,47
37133,4/4/2026,1,34,34
43401,6/6/2025,1,40,53
16534,10/28/2023,1,16,14
54617,2/27/2026,1,50,52
12481,9/19/2024,1,12,11
5770,5/1/2024,1,6,19
45618,7/3/2025,1,42,34
45454,1/20/2025,1,42,23
34465,12/12/2024,1,32,66
45078,1/10/2024,1,42,37
31577,1/13/2026,1,29,71
37185,5/26/2026,1,34,27
53068,11/30/2024,1,49,35
30997,6/12/2024,1,29,56
19640,5/1/2026,1,18,51
1250,12/13/2023,1,2,28
44581,8/30/2025,1,41,20
19762,9/1/2023,1,19,52
19229,3/16/2025,1,18,73
9653,12/20/2025,1,9,17
40598,10/2/2023,1,38,25
33226,7/21/2024,1,31,40
830,10/18/2025,1,1,17
28738,4/4/2024,1,27,47
25935,7/30/2025,1,24,37
36632,11/19/2024,1,34,32
7381,9/29/2025,1,7,14
2944,8/3/2025,1,3,14
5280,12/27/2025,1,5,50
1765,5/11/2025,1,2,16
18831,2/12/2024,1,18,73
45764,11/26/2025,1,42,35
18102,2/12/2025,1,17,40
22136,3/3/2024,1,21,43
37439,2/5/2024,1,35,26
47340,3/22/2024,1,44,35
32902,9/1/2023,1,31,29
8956,1/23/2024,1,9,21
48967,9/5/2025,1,45,16
24222,11/20/2023,1,23,64
18107,2/17/2025,1,17,32
35164,11/12/2023,1,33,49
14622,8/1/2024,1,14,16
50219,2/9/2026,1,46,48
46424,9/17/2024,1,43,27
40102,5/23/2025,1,37,44
53344,9/2/2025,1,49,33
41314,9/17/2025,1,38,32
19174,1/20/2025,1,18,90
21766,2/26/2026,1,20,89
42657,5/23/2026,1,39,44
40488,6/13/2026,1,37,43
32982,11/20/2023,1,31,52
8411,7/26/2025,1,8,9
23811,10/4/2025,1,22,55
12187,11/30/2023,1,12,15
9678,1/14/2026,1,9,26
12305,3/27/2024,1,12,19
53215,4/26/2025,1,49,39
34640,6/5/2025,1,32,64
18022,11/24/2024,1,17,22
5046,5/7/2025,1,5,28
24733,4/14/2025,1,23,78
3417,11/20/2023,1,4,27
1520,9/8/2024,1,2,16
20932,11/15/2023,1,20,59
50352,6/22/2026,1,46,48
32479,7/4/2025,1,30,60
1635,1/1/2025,1,2,30
34901,2/21/2026,1,32,76
38165,1/31/2026,1,35,47
2460,4/6/2024,1,3,35
32658,12/30/2025,1,30,82
30603,5/14/2026,1,28,36
546,1/7/2025,1,1,16
24149,9/8/2023,1,23,62
42593,3/20/2026,1,39,40
9402,4/13/2025,1,9,9
8268,3/5/2025,1,8,31
9762,4/8/2026,1,9,22
8393,7/8/2025,1,8,15
16923,11/20/2024,1,16,24
38799,10/27/2024,1,36,46
24949,11/16/2025,1,23,76
15213,3/15/2026,1,14,24
35885,11/2/2025,1,33,73
13979,10/27/2025,1,13,28
53092,12/24/2024,1,49,43
22423,12/15/2024,1,21,70
49697,9/5/2024,1,46,29
12039,7/4/2026,1,11,13
9747,3/24/2026,1,9,11
5778,5/9/2024,1,6,9
34787,10/30/2025,1,32,56
22571,5/12/2025,1,21,72
5944,10/22/2024,1,6,30
43985,1/12/2024,1,41,25
21579,8/23/2025,1,20,76
48473,4/29/2024,1,45,27
21280,10/28/2024,1,20,104
54275,3/22/2025,1,50,60
21699,12/21/2025,1,20,119
31677,4/23/2026,1,29,102
